Id,Weakness,Status,ScheduledCompletion
POAM-S-001,[APSC-DV-001620 / CAT II] TLS server-certificate validation disabled (TrustServerCertificate=true) (/home/twawe/577i-Projects/SBIR Working Folder/DON26BZ01-NV013 AI-Assisted Modernization/forge-evolve-tmpc/surrogate/tmpc-surrogate-mds/legacy/MissionProcessor.cs:58) [disposition: Residual],Open,ECP-recommended
POAM-S-002,[APSC-DV-002400 / CAT II] Hardcoded database connection string (embedded authentication/configuration data) (/home/twawe/577i-Projects/SBIR Working Folder/DON26BZ01-NV013 AI-Assisted Modernization/forge-evolve-tmpc/surrogate/tmpc-surrogate-mds/legacy/MissionProcessor.cs:58) [disposition: Residual],Open,ECP-recommended
POAM-S-003,[APSC-DV-002490 / CAT II] HTML built by string concatenation and injected without output encoding (DOM-based XSS class) (/home/twawe/577i-Projects/SBIR Working Folder/DON26BZ01-NV013 AI-Assisted Modernization/forge-evolve-tmpc/surrogate/tmpc-surrogate-mds/legacy/wwwroot/mission-review.js:80) [disposition: OutOfScope],Open,Follow-on increment (out of transform scope)
POAM-S-004,[APSC-DV-002500 / CAT I] SQL command text constructed by string concatenation in the publish path (dynamic-SQL / SQL-injection class) ((remediated in modern code)) [disposition: Remediated],Remediated,
POAM-S-005,[APSC-DV-002560 / CAT II] Untrusted delimited blob parsed with no validation (CHARINDEX/SUBSTRING/STRING_SPLIT over an external parameter) (/home/twawe/577i-Projects/SBIR Working Folder/DON26BZ01-NV013 AI-Assisted Modernization/forge-evolve-tmpc/surrogate/tmpc-surrogate-mds/legacy/sql/sp_PublishMission.sql:67) [disposition: OutOfScope],Open,Follow-on increment (out of transform scope)
POAM-C-001,D1 anti-meridian distance defect: legacy leg distance uses raw (lon2-lon1) with no longitude wrap; legs crossing +/-180 deg are computed incorrectly. Latent computational correctness defect. RECOMMENDED FOR ECP (not auto-fixed by the cATO overlay).,Open,ECP-recommended
POAM-C-002,"D3 time-on-target defect: travel time is truncated (not rounded) and the leap-second adjustment is omitted, biasing estimatedTot/totFeasible. Latent computational correctness defect. RECOMMENDED FOR ECP (not auto-fixed by the cATO overlay).",Open,ECP-recommended
POAM-L-001,"Latent legacy defect class 'anti-meridian' (raw (lon2-lon1) leg distance with no +/-180 deg wrap): 150 ground-truth divergent vectors detected by the mission-data-aware equivalence oracle (precision=recall=1.0). RECOMMENDED FOR ECP — surfaced for human adjudication, not auto-fixed.",Open,ECP-recommended
POAM-L-002,"Latent legacy defect class 'leap-second' (omitted leap-second adjustment + TOT truncation bias): 96 ground-truth divergent vectors detected by the mission-data-aware equivalence oracle (precision=recall=1.0). RECOMMENDED FOR ECP — surfaced for human adjudication, not auto-fixed.",Open,ECP-recommended
POAM-L-003,"Latent legacy defect class 'overflow' (numeric overflow on extreme inputs): 59 ground-truth divergent vectors detected by the mission-data-aware equivalence oracle (precision=recall=1.0). RECOMMENDED FOR ECP — surfaced for human adjudication, not auto-fixed.",Open,ECP-recommended
POAM-L-004,"Latent legacy defect class 'precision-drift' (floating-point precision drift across accumulated legs): 16 ground-truth divergent vectors detected by the mission-data-aware equivalence oracle (precision=recall=1.0). RECOMMENDED FOR ECP — surfaced for human adjudication, not auto-fixed.",Open,ECP-recommended
